attr_o,sinc_o,shar_o,gender,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha
8,8,6,0,16.67,18.75,18.75,18.75,18.75,8.33
5,5,3,0,15.22,15.22,19.57,17.39,13.04,19.57
7,6,4,0,12,20,20,20,16,12
9,7,5,0,16.67,12.5,20.83,18.75,12.5,18.75
6,7,4,0,18.6,13.95,18.6,16.28,16.28,16.28
6,8,8,0,11.11,17.78,17.78,17.78,17.78,17.78
10,8,8,0,17.78,20,17.78,15.56,15.56,13.33
6,6,6,0,16.28,20.93,18.6,18.6,13.95,11.63
9,8,5,0,19.57,10.87,19.57,19.57,19.57,10.87
8,5,6,0,17.78,17.78,22.22,20,15.56,6.67
7,8,7,0,18.37,18.37,20.41,20.41,16.33,6.12
4,5,4,1,14.29,14.29,21.43,21.43,19.05,9.52
4,6,4,1,16,16,16,18,18,16
7,10,8,1,11.36,18.18,22.73,18.18,11.36,18.18
5,5,5,1,18,18,20,18,16,10
4,8,1,1,15.09,16.98,16.98,18.87,18.87,13.21
4,5,1,1,14.55,16.36,18.18,18.18,16.36,16.36
6,7,6,1,14,20,20,14,18,14
5,8,7,1,15.38,17.31,17.31,17.31,17.31,15.38
2,6,2,1,15.09,18.87,18.87,16.98,16.98,13.21
4,7,3,1,14,18,16,18,18,16
2,3,1,1,14.29,16.33,16.33,18.37,18.37,16.33
5,10,5,1,14.29,14.29,21.43,21.43,19.05,9.52
4,7,4,1,16,16,16,18,18,16
7,10,8,1,11.36,18.18,22.73,18.18,11.36,18.18
5,6,4,1,18,18,20,18,16,10
3,8,1,1,15.09,16.98,16.98,18.87,18.87,13.21
4,7,7,1,8.51,19.15,19.15,19.15,19.15,14.89
3,7,5,1,14.55,16.36,18.18,18.18,16.36,16.36
6,8,5,1,15.38,17.31,17.31,17.31,17.31,15.38
1,4,2,1,15.09,18.87,18.87,16.98,16.98,13.21
3,10,3,1,14,18,16,18,18,16
2,6,4,1,14.29,16.33,16.33,18.37,18.37,16.33
8,8,6,1,14.29,14.29,21.43,21.43,19.05,9.52
5,5,4,1,8.33,20.83,20.83,14.58,16.67,18.75
7,8,7,1,16,16,16,18,18,16
8,10,5,1,11.36,18.18,22.73,18.18,11.36,18.18
8,6,7,1,18,18,20,18,16,10
7,5,6,1,15.09,16.98,16.98,18.87,18.87,13.21
9,7,6,1,8.51,19.15,19.15,19.15,19.15,14.89
9,7,2,1,12,20,20,20,14,14
8,6,6,1,14.55,16.36,18.18,18.18,16.36,16.36
6,8,4,1,14,20,20,14,18,14
9,9,9,1,15.38,17.31,17.31,17.31,17.31,15.38
7,7,6,1,15.09,18.87,18.87,16.98,16.98,13.21
7,10,10,1,14,18,16,18,18,16
7,6,8,1,14.29,16.33,16.33,18.37,18.37,16.33
10,10,7,1,14.29,14.29,21.43,21.43,19.05,9.52
5,6,6,1,8.33,20.83,20.83,14.58,16.67,18.75
8,8,9,1,16,16,16,18,18,16
10,9,7,1,11.36,18.18,22.73,18.18,11.36,18.18
7,6,5,1,18,18,20,18,16,10
5,8,1,1,15.09,16.98,16.98,18.87,18.87,13.21
8,6,8,1,8.51,19.15,19.15,19.15,19.15,14.89
8,5,7,1,12,20,20,20,14,14
9,7,7,1,14.55,16.36,18.18,18.18,16.36,16.36
8,8,9,1,14,20,20,14,18,14
10,8,6,1,15.38,17.31,17.31,17.31,17.31,15.38
8,7,5,1,15.09,18.87,18.87,16.98,16.98,13.21
8,9,5,1,14,18,16,18,18,16
7,7,7,1,14.29,16.33,16.33,18.37,18.37,16.33
8,10,5,1,14.29,14.29,21.43,21.43,19.05,9.52
7,7,7,1,16,16,16,18,18,16
9,9,8,1,11.36,18.18,22.73,18.18,11.36,18.18
5,6,4,1,18,18,20,18,16,10
6,8,7,1,15.09,16.98,16.98,18.87,18.87,13.21
6,6,5,1,12,20,20,20,14,14
9,8,9,1,14.55,16.36,18.18,18.18,16.36,16.36
5,5,6,1,9.76,19.51,19.51,14.63,19.51,17.07
5,8,2,1,15.38,17.31,17.31,17.31,17.31,15.38
2,4,3,1,15.09,18.87,18.87,16.98,16.98,13.21
7,6,10,1,14,18,16,18,18,16
3,5,2,1,14.29,16.33,16.33,18.37,18.37,16.33
6,8,7,1,14.29,14.29,21.43,21.43,19.05,9.52
9,8,8,1,8.33,20.83,20.83,14.58,16.67,18.75
6,7,7,1,16,16,16,18,18,16
9,9,7,1,11.36,18.18,22.73,18.18,11.36,18.18
7,8,8,1,18,18,20,18,16,10
7,9,7,1,15.09,16.98,16.98,18.87,18.87,13.21
5,6,4,1,8.51,19.15,19.15,19.15,19.15,14.89
7,5,7,1,14.55,16.36,18.18,18.18,16.36,16.36
8,8,7,1,9.76,19.51,19.51,14.63,19.51,17.07
9,9,6,1,15.38,17.31,17.31,17.31,17.31,15.38
6,7,7,1,15.09,18.87,18.87,16.98,16.98,13.21
6,9,8,1,14,18,16,18,18,16
5,7,4,1,14.29,16.33,16.33,18.37,18.37,16.33
8,9,6,1,14.29,14.29,21.43,21.43,19.05,9.52
8,8,7,1,16,16,16,18,18,16
9,10,9,1,11.36,18.18,22.73,18.18,11.36,18.18
10,9,8,1,18.18,18.18,18.18,18.18,13.64,13.64
6,8,5,1,18,18,20,18,16,10
4,6,2,1,15.09,16.98,16.98,18.87,18.87,13.21
3,7,3,1,8.51,19.15,19.15,19.15,19.15,14.89
8,7,7,1,12,20,20,20,14,14
6,8,8,1,14.55,16.36,18.18,18.18,16.36,16.36
7,9,5,1,15.38,17.31,17.31,17.31,17.31,15.38
6,8,8,1,15.09,18.87,18.87,16.98,16.98,13.21
7,9,6,1,14,18,16,18,18,16
5,6,6,1,14.29,16.33,16.33,18.37,18.37,16.33
6,8,7,1,14.29,14.29,21.43,21.43,19.05,9.52
7,6,5,1,16,16,16,18,18,16
8,8,4,1,11.36,18.18,22.73,18.18,11.36,18.18
7,7,5,1,18,18,20,18,16,10
6,7,2,1,15.09,16.98,16.98,18.87,18.87,13.21
8,5,5,1,14.55,16.36,18.18,18.18,16.36,16.36
8,8,9,1,14,20,20,14,18,14
7,9,4,1,15.38,17.31,17.31,17.31,17.31,15.38
7,6,5,1,15.09,18.87,18.87,16.98,16.98,13.21
8,5,6,1,14,18,16,18,18,16
6,7,4,1,14.29,16.33,16.33,18.37,18.37,16.33
8,6,5,1,14.29,14.29,21.43,21.43,19.05,9.52
7,8,6,1,16,16,16,18,18,16
7,7,4,1,11.36,18.18,22.73,18.18,11.36,18.18
8,8,7,1,18,18,20,18,16,10
7,8,2,1,15.09,16.98,16.98,18.87,18.87,13.21
8,5,8,1,8.51,19.15,19.15,19.15,19.15,14.89
6,4,6,1,14.55,16.36,18.18,18.18,16.36,16.36
9,9,7,1,15.38,17.31,17.31,17.31,17.31,15.38
8,7,5,1,15.09,18.87,18.87,16.98,16.98,13.21
7,6,6,1,14,18,16,18,18,16
6,7,6,1,14.29,16.33,16.33,18.37,18.37,16.33
8,8,8,1,14.29,14.29,21.43,21.43,19.05,9.52
6,7,7,1,16,16,16,18,18,16
10,9,4,1,11.36,18.18,22.73,18.18,11.36,18.18
6,6,5,1,18,18,20,18,16,10
3,8,2,1,15.09,16.98,16.98,18.87,18.87,13.21
4,6,8,1,8.51,19.15,19.15,19.15,19.15,14.89
7,7,8,1,12,20,20,20,14,14
6,3,7,1,14.55,16.36,18.18,18.18,16.36,16.36
8,8,8,1,15.38,17.31,17.31,17.31,17.31,15.38
5,5,3,1,15.09,18.87,18.87,16.98,16.98,13.21
6,9,4,1,14,18,16,18,18,16
4,5,4,1,14.29,16.33,16.33,18.37,18.37,16.33
6,9,10,1,14.29,14.29,21.43,21.43,19.05,9.52
5,5,5,1,16,16,16,18,18,16
6,9,10,1,11.36,18.18,22.73,18.18,11.36,18.18
4,8,3,1,18,18,20,18,16,10
2,8,2,1,15.09,16.98,16.98,18.87,18.87,13.21
6,3,4,1,14.55,16.36,18.18,18.18,16.36,16.36
4,7,5,1,14,20,20,14,18,14
5,9,5,1,15.38,17.31,17.31,17.31,17.31,15.38
3,6,3,1,15.09,18.87,18.87,16.98,16.98,13.21
6,9,5,1,14,18,16,18,18,16
2,8,7,1,14.29,16.33,16.33,18.37,18.37,16.33
10,10,10,1,14.29,14.29,21.43,21.43,19.05,9.52
8,9,8,1,8.33,20.83,20.83,14.58,16.67,18.75
7,7,7,1,16,16,16,18,18,16
9,7,5,1,11.36,18.18,22.73,18.18,11.36,18.18
8,7,5,1,18,18,20,18,16,10
8,8,2,1,15.09,16.98,16.98,18.87,18.87,13.21
8,7,8,1,8.51,19.15,19.15,19.15,19.15,14.89
9,9,7,1,12,20,20,20,14,14
8,9,6,1,14,20,20,14,18,14
9,9,9,1,15.38,17.31,17.31,17.31,17.31,15.38
8,8,6,1,15.09,18.87,18.87,16.98,16.98,13.21
7,9,10,1,14,18,16,18,18,16
8,7,8,1,14.29,16.33,16.33,18.37,18.37,16.33
4,7,7,1,14.29,14.29,21.43,21.43,19.05,9.52
5,5,8,1,8.33,20.83,20.83,14.58,16.67,18.75
5,7,5,1,16,16,16,18,18,16
8,10,10,1,11.36,18.18,22.73,18.18,11.36,18.18
4,7,4,1,18,18,20,18,16,10
3,8,1,1,15.09,16.98,16.98,18.87,18.87,13.21
5,6,3,1,12,20,20,20,14,14
3,8,2,1,14.55,16.36,18.18,18.18,16.36,16.36
6,10,6,1,15.38,17.31,17.31,17.31,17.31,15.38
2,8,6,1,15.09,18.87,18.87,16.98,16.98,13.21
4,8,8,1,14,18,16,18,18,16
3,6,3,1,14.29,16.33,16.33,18.37,18.37,16.33
4,10,2,1,14.29,14.29,21.43,21.43,19.05,9.52
8,9,8,1,8.33,20.83,20.83,14.58,16.67,18.75
5,7,6,1,16,16,16,18,18,16
9,9,5,1,11.36,18.18,22.73,18.18,11.36,18.18
4,7,3,1,18,18,20,18,16,10
4,8,5,1,15.09,16.98,16.98,18.87,18.87,13.21
8,9,8,1,15.38,17.31,17.31,17.31,17.31,15.38
4,7,5,1,15.09,18.87,18.87,16.98,16.98,13.21
5,8,2,1,14,18,16,18,18,16
5,7,5,1,14.29,16.33,16.33,18.37,18.37,16.33
8,7,8,1,14.29,14.29,21.43,21.43,19.05,9.52
5,8,7,1,16,16,16,18,18,16
9,9,7,1,11.36,18.18,22.73,18.18,11.36,18.18
8,10,8,1,18,18,20,18,16,10
7,8,7,1,15.09,16.98,16.98,18.87,18.87,13.21
7,7,6,1,8.51,19.15,19.15,19.15,19.15,14.89
7,8,8,1,14.55,16.36,18.18,18.18,16.36,16.36
9,10,8,1,15.38,17.31,17.31,17.31,17.31,15.38
5,8,7,1,15.09,18.87,18.87,16.98,16.98,13.21
5,9,7,1,14,18,16,18,18,16
7,7,7,1,14.29,16.33,16.33,18.37,18.37,16.33
6,4,9,1,14.29,14.29,21.43,21.43,19.05,9.52
6,7,6,1,16,16,16,18,18,16
8,10,10,1,11.36,18.18,22.73,18.18,11.36,18.18
6,8,5,1,18,18,20,18,16,10
7,9,2,1,15.09,16.98,16.98,18.87,18.87,13.21
8,7,10,1,14.55,16.36,18.18,18.18,16.36,16.36
5,8,7,1,14,20,20,14,18,14
9,9,7,1,15.38,17.31,17.31,17.31,17.31,15.38
3,8,6,1,15.09,18.87,18.87,16.98,16.98,13.21
6,9,7,1,14,18,16,18,18,16
5,6,6,1,14.29,16.33,16.33,18.37,18.37,16.33
8,10,7,0,16.67,16.67,16.67,16.67,16.67,16.67
6,6,8,0,16.98,15.09,16.98,16.98,18.87,15.09
4,5,5,0,15.56,11.11,22.22,15.56,20,15.56
5,8,4,0,16.98,16.98,16.98,16.98,16.98,15.09
5,8,8,0,20.45,20.45,20.45,18.18,18.18,2.27
3,8,3,0,19.57,19.57,15.22,17.39,15.22,13.04
3,9,6,0,20.93,16.28,23.26,16.28,11.63,11.63
7,10,8,0,16.67,16.67,16.67,16.67,16.67,16.67
3,8,6,0,16.98,15.09,16.98,16.98,18.87,15.09
7,6,7,0,19.44,19.44,22.22,16.67,11.11,11.11
6,5,5,0,15.56,11.11,22.22,15.56,20,15.56
6,6,5,0,16.98,16.98,16.98,16.98,16.98,15.09
9,8,10,0,15.56,20,20,20,13.33,11.11
5,9,8,0,20.45,20.45,20.45,18.18,18.18,2.27
4,8,5,0,19.57,19.57,15.22,17.39,15.22,13.04
5,8,9,0,20.93,16.28,23.26,16.28,11.63,11.63
10,10,6,0,16.67,16.67,16.67,16.67,16.67,16.67
3,8,6,0,16.98,15.09,16.98,16.98,18.87,15.09
8,7,8,0,19.44,19.44,22.22,16.67,11.11,11.11
6,5,7,0,15.56,11.11,22.22,15.56,20,15.56
8,8,5,0,16.98,16.98,16.98,16.98,16.98,15.09
7,8,7,0,20.45,20.45,20.45,18.18,18.18,2.27
7,8,3,0,19.57,19.57,15.22,17.39,15.22,13.04
6,9,6,0,20.93,16.28,23.26,16.28,11.63,11.63
8,10,10,0,16.67,16.67,16.67,16.67,16.67,16.67
2,9,5,0,16.98,15.09,16.98,16.98,18.87,15.09
5,5,2,0,19.44,19.44,22.22,16.67,11.11,11.11
3,4,5,0,15.56,11.11,22.22,15.56,20,15.56
5,6,5,0,16.98,16.98,16.98,16.98,16.98,15.09
5,7,6,0,20.45,20.45,20.45,18.18,18.18,2.27
6,8,4,0,19.57,19.57,15.22,17.39,15.22,13.04
6,8,7,0,20.93,16.28,23.26,16.28,11.63,11.63
8,10,7,0,16.67,16.67,16.67,16.67,16.67,16.67
3,7,9,0,16.98,15.09,16.98,16.98,18.87,15.09
5,5,5,0,15.56,11.11,22.22,15.56,20,15.56
5,8,6,0,16.98,16.98,16.98,16.98,16.98,15.09
5,8,5,0,20.45,20.45,20.45,18.18,18.18,2.27
4,7,4,0,19.57,19.57,15.22,17.39,15.22,13.04
3,9,9,0,20.93,16.28,23.26,16.28,11.63,11.63
10,10,5,0,16.67,16.67,16.67,16.67,16.67,16.67
8,8,10,0,16.98,15.09,16.98,16.98,18.87,15.09
7,7,6,0,19.44,19.44,22.22,16.67,11.11,11.11
7,6,6,0,15.56,11.11,22.22,15.56,20,15.56
7,8,7,0,16.98,16.98,16.98,16.98,16.98,15.09
10,8,5,0,15.56,20,20,20,13.33,11.11
8,8,6,0,20.45,20.45,20.45,18.18,18.18,2.27
7,7,4,0,19.57,19.57,15.22,17.39,15.22,13.04
9,9,8,0,20.93,16.28,23.26,16.28,11.63,11.63
10,9,9,0,16.67,16.67,16.67,16.67,16.67,16.67
9,10,5,0,16.98,15.09,16.98,16.98,18.87,15.09
8,8,8,0,15.56,11.11,22.22,15.56,20,15.56
6,8,5,0,16.98,16.98,16.98,16.98,16.98,15.09
7,8,7,0,20.45,20.45,20.45,18.18,18.18,2.27
7,7,4,0,19.57,19.57,15.22,17.39,15.22,13.04
7,8,8,0,20.93,16.28,23.26,16.28,11.63,11.63
10,10,9,0,16.67,16.67,16.67,16.67,16.67,16.67
9,10,5,0,16.98,15.09,16.98,16.98,18.87,15.09
6,7,5,0,15.56,11.11,22.22,15.56,20,15.56
6,7,6,0,16.98,16.98,16.98,16.98,16.98,15.09
8,8,5,0,20.45,20.45,20.45,18.18,18.18,2.27
7,7,3,0,19.57,19.57,15.22,17.39,15.22,13.04
8,10,9,0,20.93,16.28,23.26,16.28,11.63,11.63
8,10,6,0,16.67,16.67,16.67,16.67,16.67,16.67
6,8,5,0,16.98,15.09,16.98,16.98,18.87,15.09
5,7,5,0,15.56,11.11,22.22,15.56,20,15.56
5,7,5,0,16.98,16.98,16.98,16.98,16.98,15.09
5,7,5,0,20.45,20.45,20.45,18.18,18.18,2.27
3,8,3,0,19.57,19.57,15.22,17.39,15.22,13.04
3,9,6,0,20.93,16.28,23.26,16.28,11.63,11.63
10,10,10,0,16.67,16.67,16.67,16.67,16.67,16.67
6,6,10,0,16.98,15.09,16.98,16.98,18.87,15.09
7,7,3,0,19.44,19.44,22.22,16.67,11.11,11.11
4,5,5,0,15.56,11.11,22.22,15.56,20,15.56
6,8,6,0,16.98,16.98,16.98,16.98,16.98,15.09
8,3,1,0,15.56,20,20,20,13.33,11.11
5,7,6,0,20.45,20.45,20.45,18.18,18.18,2.27
5,7,6,0,19.57,19.57,15.22,17.39,15.22,13.04
6,8,6,0,20.93,16.28,23.26,16.28,11.63,11.63
5,6,6,1,9.52,23.81,16.67,16.67,16.67,16.67
7,7,7,1,12.24,20.41,16.33,14.29,20.41,16.33
7,7,5,1,13.04,21.74,19.57,17.39,15.22,13.04
5,7,5,1,15.09,16.98,16.98,16.98,18.87,15.09
3,7,7,1,19.15,21.28,17.02,17.02,12.77,12.77
7,8,6,1,15.38,17.31,17.31,19.23,13.46,17.31
8,9,7,1,15.38,19.23,19.23,17.31,17.31,11.54
7,8,8,1,16.07,17.86,17.86,17.86,17.86,12.5
8,9,9,1,20,22.5,17.5,22.5,10,7.5
2,7,2,1,12.24,20.41,16.33,14.29,20.41,16.33
6,5,4,1,13.04,21.74,19.57,17.39,15.22,13.04
2,3,2,1,15.09,16.98,16.98,16.98,18.87,15.09
4,6,6,1,19.15,21.28,17.02,17.02,12.77,12.77
4,4,3,1,15.38,17.31,17.31,19.23,13.46,17.31
6,8,6,1,15.38,19.23,19.23,17.31,17.31,11.54
7,7,8,1,16.07,17.86,17.86,17.86,17.86,12.5
7,6,7,1,20,22.5,17.5,22.5,10,7.5
5,5,6,1,9.52,23.81,16.67,16.67,16.67,16.67
2,8,6,1,12.24,20.41,16.33,14.29,20.41,16.33
7,8,6,1,13.04,21.74,19.57,17.39,15.22,13.04
2,6,2,1,15.09,16.98,16.98,16.98,18.87,15.09
4,8,7,1,19.15,21.28,17.02,17.02,12.77,12.77
6,7,6,1,15.38,17.31,17.31,19.23,13.46,17.31
8,8,7,1,15.38,19.23,19.23,17.31,17.31,11.54
6,8,8,1,16.07,17.86,17.86,17.86,17.86,12.5
8,8,5,1,20,22.5,17.5,22.5,10,7.5
5,5,7,1,9.52,23.81,16.67,16.67,16.67,16.67
4,6,7,1,12.24,20.41,16.33,14.29,20.41,16.33
5,5,5,1,13.04,21.74,19.57,17.39,15.22,13.04
4,8,7,1,19.15,21.28,17.02,17.02,12.77,12.77
5,5,4,1,15.38,17.31,17.31,19.23,13.46,17.31
4,4,4,1,15.38,19.23,19.23,17.31,17.31,11.54
6,8,9,1,16.07,17.86,17.86,17.86,17.86,12.5
6,6,6,1,20,22.5,17.5,22.5,10,7.5
5,5,5,1,9.52,23.81,16.67,16.67,16.67,16.67
4,7,7,1,12.24,20.41,16.33,14.29,20.41,16.33
7,5,4,1,13.04,21.74,19.57,17.39,15.22,13.04
1,6,2,1,15.09,16.98,16.98,16.98,18.87,15.09
4,8,6,1,19.15,21.28,17.02,17.02,12.77,12.77
7,8,5,1,15.38,17.31,17.31,19.23,13.46,17.31
4,4,4,1,15.38,19.23,19.23,17.31,17.31,11.54
1,7,9,1,16.07,17.86,17.86,17.86,17.86,12.5
6,7,6,1,20,22.5,17.5,22.5,10,7.5
5,5,5,1,9.52,23.81,16.67,16.67,16.67,16.67
4,7,7,1,12.24,20.41,16.33,14.29,20.41,16.33
6,7,3,1,13.04,21.74,19.57,17.39,15.22,13.04
4,6,4,1,15.09,16.98,16.98,16.98,18.87,15.09
4,8,7,1,19.15,21.28,17.02,17.02,12.77,12.77
7,6,5,1,15.38,17.31,17.31,19.23,13.46,17.31
5,10,4,1,15.38,19.23,19.23,17.31,17.31,11.54
6,8,8,1,16.07,17.86,17.86,17.86,17.86,12.5
6,8,9,1,20,22.5,17.5,22.5,10,7.5
5,5,6,1,9.52,23.81,16.67,16.67,16.67,16.67
7,8,7,1,12.24,20.41,16.33,14.29,20.41,16.33
8,7,2,1,13.04,21.74,19.57,17.39,15.22,13.04
6,7,3,1,15.09,16.98,16.98,16.98,18.87,15.09
7,6,7,1,19.15,21.28,17.02,17.02,12.77,12.77
8,7,6,1,15.38,17.31,17.31,19.23,13.46,17.31
5,5,4,1,15.38,19.23,19.23,17.31,17.31,11.54
7,8,8,1,16.07,17.86,17.86,17.86,17.86,12.5
7,7,9,1,20,22.5,17.5,22.5,10,7.5
5,6,6,1,9.52,23.81,16.67,16.67,16.67,16.67
1,7,8,1,12.24,20.41,16.33,14.29,20.41,16.33
8,6,6,1,13.04,21.74,19.57,17.39,15.22,13.04
7,7,7,1,15.09,16.98,16.98,16.98,18.87,15.09
4,7,5,1,19.15,21.28,17.02,17.02,12.77,12.77
8,7,7,1,15.38,17.31,17.31,19.23,13.46,17.31
8,9,4,1,15.38,19.23,19.23,17.31,17.31,11.54
9,9,8,1,16.07,17.86,17.86,17.86,17.86,12.5
7,7,7,1,20,22.5,17.5,22.5,10,7.5
6,5,7,1,9.52,23.81,16.67,16.67,16.67,16.67
1,5,8,1,12.24,20.41,16.33,14.29,20.41,16.33
8,7,7,1,13.04,21.74,19.57,17.39,15.22,13.04
7,7,7,1,15.09,16.98,16.98,16.98,18.87,15.09
6,6,4,1,19.15,21.28,17.02,17.02,12.77,12.77
9,8,9,1,15.38,17.31,17.31,19.23,13.46,17.31
6,4,9,1,15.38,19.23,19.23,17.31,17.31,11.54
8,9,8,1,16.07,17.86,17.86,17.86,17.86,12.5
8,8,8,1,20,22.5,17.5,22.5,10,7.5
6,5,7,1,9.52,23.81,16.67,16.67,16.67,16.67
4,6,7,1,12.24,20.41,16.33,14.29,20.41,16.33
7,8,6,1,13.04,21.74,19.57,17.39,15.22,13.04
5,7,5,1,15.09,16.98,16.98,16.98,18.87,15.09
5,7,7,1,19.15,21.28,17.02,17.02,12.77,12.77
7,7,5,1,15.38,17.31,17.31,19.23,13.46,17.31
8,8,9,1,15.38,19.23,19.23,17.31,17.31,11.54
5,8,6,1,16.07,17.86,17.86,17.86,17.86,12.5
7,8,6,1,20,22.5,17.5,22.5,10,7.5
7,8,3,0,17.02,21.28,17.02,21.28,14.89,8.51
3,4,4,0,14.89,19.15,21.28,19.15,14.89,10.64
5,5,5,0,7.5,17.5,20,22.5,12.5,20
3,9,6,0,21.28,17.02,21.28,12.77,6.38,21.28
2,6,4,0,20.51,5.13,23.08,12.82,17.95,20.51
5,8,0,0,16.67,16.67,16.67,16.67,14.81,18.52
4,3,5,0,15.56,17.78,17.78,17.78,17.78,13.33
7,4,2,0,9.52,19.05,23.81,19.05,4.76,23.81
7,7,7,0,17.39,17.39,19.57,19.57,10.87,15.22
5,8,7,0,17.24,17.24,17.24,17.24,13.79,17.24
6,4,4,0,14.71,14.71,14.71,14.71,20.59,20.59
4,5,4,0,25.64,17.95,15.38,20.51,10.26,10.26
4,6,5,0,20,16,18,16,16,14
6,7,5,0,13.51,18.92,21.62,13.51,13.51,18.92
1,5,3,0,21.43,16.67,21.43,16.67,11.9,11.9
3,5,2,0,23.81,23.81,23.81,23.81,2.38,2.38
5,4,4,0,18.6,20.93,23.26,23.26,2.33,11.63
5,5,5,0,17.78,17.78,17.78,17.78,13.33,15.56
9,8,5,0,17.02,21.28,17.02,21.28,14.89,8.51
5,9,9,0,14.89,19.15,21.28,19.15,14.89,10.64
7,7,4,0,7.5,17.5,20,22.5,12.5,20
6,5,5,0,21.28,17.02,21.28,12.77,6.38,21.28
6,7,6,0,20.51,5.13,23.08,12.82,17.95,20.51
7,8,7,0,16.28,16.28,18.6,16.28,16.28,16.28
8,8,9,0,16.67,16.67,16.67,16.67,14.81,18.52
7,8,5,0,15.56,17.78,17.78,17.78,17.78,13.33
6,3,2,0,9.52,19.05,23.81,19.05,4.76,23.81
6,8,5,0,17.39,17.39,19.57,19.57,10.87,15.22
7,6,8,0,17.24,17.24,17.24,17.24,13.79,17.24
6,7,6,0,14.71,14.71,14.71,14.71,20.59,20.59
6,7,6,0,25.64,17.95,15.38,20.51,10.26,10.26
6,4,6,0,20,16,18,16,16,14
6,6,5,0,13.51,18.92,21.62,13.51,13.51,18.92
8,9,5,0,21.43,16.67,21.43,16.67,11.9,11.9
8,7,5,0,23.81,23.81,23.81,23.81,2.38,2.38
6,8,6,0,18.6,20.93,23.26,23.26,2.33,11.63
7,8,7,0,17.78,17.78,17.78,17.78,13.33,15.56
7,8,5,0,17.02,21.28,17.02,21.28,14.89,8.51
5,8,3,0,14.89,19.15,21.28,19.15,14.89,10.64
7,6,6,0,7.5,17.5,20,22.5,12.5,20
4,7,6,0,21.28,17.02,21.28,12.77,6.38,21.28
2,5,2,0,20.51,5.13,23.08,12.82,17.95,20.51
8,7,7,0,16.28,16.28,18.6,16.28,16.28,16.28
10,10,10,0,16.67,16.67,16.67,16.67,14.81,18.52
6,5,3,0,15.56,17.78,17.78,17.78,17.78,13.33
7,6,5,0,9.52,19.05,23.81,19.05,4.76,23.81
7,8,2,0,17.39,17.39,19.57,19.57,10.87,15.22
7,8,5,0,17.24,17.24,17.24,17.24,13.79,17.24
6,5,3,0,14.71,14.71,14.71,14.71,20.59,20.59
5,8,5,0,25.64,17.95,15.38,20.51,10.26,10.26
5,7,3,0,20,16,18,16,16,14
6,7,6,0,13.51,18.92,21.62,13.51,13.51,18.92
6,7,1,0,21.43,16.67,21.43,16.67,11.9,11.9
8,7,6,0,23.81,23.81,23.81,23.81,2.38,2.38
8,6,3,0,18.6,20.93,23.26,23.26,2.33,11.63
6,6,4,0,17.78,17.78,17.78,17.78,13.33,15.56
8,8,5,0,17.02,21.28,17.02,21.28,14.89,8.51
7,9,4,0,14.89,19.15,21.28,19.15,14.89,10.64
6,8,3,0,7.5,17.5,20,22.5,12.5,20
7,7,7,0,21.28,17.02,21.28,12.77,6.38,21.28
3,3,3,0,20.51,5.13,23.08,12.82,17.95,20.51
6,8,6,0,16.28,16.28,18.6,16.28,16.28,16.28
8,8,10,0,16.67,16.67,16.67,16.67,14.81,18.52
7,6,5,0,15.56,17.78,17.78,17.78,17.78,13.33
8,4,5,0,9.52,19.05,23.81,19.05,4.76,23.81
8,6,5,0,17.39,17.39,19.57,19.57,10.87,15.22
5,8,7,0,17.24,17.24,17.24,17.24,13.79,17.24
6,6,8,0,14.71,14.71,14.71,14.71,20.59,20.59
8,8,7,0,25.64,17.95,15.38,20.51,10.26,10.26
7,7,7,0,20,16,18,16,16,14
5,6,5,0,13.51,18.92,21.62,13.51,13.51,18.92
4,8,3,0,21.43,16.67,21.43,16.67,11.9,11.9
7,6,5,0,23.81,23.81,23.81,23.81,2.38,2.38
9,5,9,0,18.6,20.93,23.26,23.26,2.33,11.63
10,10,8,0,17.78,17.78,17.78,17.78,13.33,15.56
6,7,4,0,17.02,21.28,17.02,21.28,14.89,8.51
3,7,4,0,14.89,19.15,21.28,19.15,14.89,10.64
8,8,7,0,7.5,17.5,20,22.5,12.5,20
3,7,3,0,21.28,17.02,21.28,12.77,6.38,21.28
3,7,2,0,20.51,5.13,23.08,12.82,17.95,20.51
3,6,3,0,16.28,16.28,18.6,16.28,16.28,16.28
8,8,8,0,16.67,16.67,16.67,16.67,14.81,18.52
3,5,3,0,15.56,17.78,17.78,17.78,17.78,13.33
4,7,2,0,9.52,19.05,23.81,19.05,4.76,23.81
6,8,5,0,17.39,17.39,19.57,19.57,10.87,15.22
5,6,5,0,17.24,17.24,17.24,17.24,13.79,17.24
4,5,4,0,14.71,14.71,14.71,14.71,20.59,20.59
3,7,3,0,25.64,17.95,15.38,20.51,10.26,10.26
3,3,2,0,20,16,18,16,16,14
6,9,4,0,13.51,18.92,21.62,13.51,13.51,18.92
3,4,2,0,21.43,16.67,21.43,16.67,11.9,11.9
9,8,6,0,23.81,23.81,23.81,23.81,2.38,2.38
3,6,5,0,18.6,20.93,23.26,23.26,2.33,11.63
3,6,2,0,17.78,17.78,17.78,17.78,13.33,15.56
8,6,6,0,17.02,21.28,17.02,21.28,14.89,8.51
5,6,6,0,14.89,19.15,21.28,19.15,14.89,10.64
8,7,5,0,7.5,17.5,20,22.5,12.5,20
