,iid,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,like_o,race,pid,dec_o,gender,age,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,go_out,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,match
1784,125,6.0,10.0,10.0,8.0,8.0,4.0,8.0,2.0,121.0,1,1,21.0,35.0,15.0,5.0,30.0,15.0,0.0,1.0,3.0,1.0,9.0,10.0,9.0,10.0,1.0,1.0,10.0,9.0,2.0,9.0,9.0,9.0,9.0,10.0,7.0,0
1786,126,5.0,7.0,9.0,6.0,8.0,7.0,8.0,2.0,112.0,1,1,22.0,15.0,15.0,20.0,25.0,10.0,15.0,3.0,10.0,8.0,7.0,8.0,8.0,7.0,5.0,2.0,7.0,10.0,5.0,8.0,8.0,9.0,10.0,6.0,7.0,1
1787,126,6.0,9.0,8.0,7.0,7.0,6.0,7.0,2.0,113.0,1,1,22.0,15.0,15.0,25.0,25.0,15.0,5.0,3.0,10.0,8.0,7.0,8.0,8.0,7.0,5.0,2.0,7.0,10.0,5.0,8.0,8.0,9.0,10.0,6.0,7.0,1
1788,126,5.0,6.0,5.0,5.0,5.0,7.0,6.0,2.0,114.0,0,1,22.0,20.0,20.0,20.0,20.0,10.0,10.0,3.0,10.0,8.0,7.0,8.0,8.0,7.0,5.0,2.0,7.0,10.0,5.0,8.0,8.0,9.0,10.0,6.0,7.0,0
1789,126,6.0,10.0,10.0,8.0,10.0,6.0,8.0,2.0,115.0,0,1,22.0,20.0,10.0,30.0,20.0,15.0,5.0,3.0,10.0,8.0,7.0,8.0,8.0,7.0,5.0,2.0,7.0,10.0,5.0,8.0,8.0,9.0,10.0,6.0,7.0,0
1790,126,6.0,9.0,10.0,7.0,9.0,4.0,7.0,2.0,116.0,0,1,22.0,15.0,15.0,25.0,25.0,20.0,0.0,3.0,10.0,8.0,7.0,8.0,8.0,7.0,5.0,2.0,7.0,10.0,5.0,8.0,8.0,9.0,10.0,6.0,7.0,0
1791,126,6.0,10.0,9.0,7.0,8.0,6.0,7.0,2.0,117.0,0,1,22.0,20.0,10.0,20.0,20.0,20.0,10.0,3.0,10.0,8.0,7.0,8.0,8.0,7.0,5.0,2.0,7.0,10.0,5.0,8.0,8.0,9.0,10.0,6.0,7.0,0
1793,126,8.0,10.0,8.0,7.0,8.0,6.0,7.0,2.0,120.0,0,1,22.0,10.0,10.0,35.0,35.0,8.0,2.0,3.0,10.0,8.0,7.0,8.0,8.0,7.0,5.0,2.0,7.0,10.0,5.0,8.0,8.0,9.0,10.0,6.0,7.0,0
1794,126,8.0,7.0,10.0,7.0,10.0,9.0,9.0,2.0,121.0,1,1,22.0,35.0,15.0,5.0,30.0,15.0,0.0,3.0,10.0,8.0,7.0,8.0,8.0,7.0,5.0,2.0,7.0,10.0,5.0,8.0,8.0,9.0,10.0,6.0,7.0,0
1796,127,10.0,6.0,7.0,8.0,8.0,8.0,8.0,2.0,112.0,1,1,22.0,15.0,15.0,20.0,25.0,10.0,15.0,1.0,10.0,8.0,8.0,8.0,5.0,3.0,5.0,5.0,6.0,1.0,7.0,1.0,5.0,8.0,7.0,5.0,10.0,1
1797,127,9.0,9.0,8.0,10.0,7.0,8.0,9.0,2.0,113.0,1,1,22.0,15.0,15.0,25.0,25.0,15.0,5.0,1.0,10.0,8.0,8.0,8.0,5.0,3.0,5.0,5.0,6.0,1.0,7.0,1.0,5.0,8.0,7.0,5.0,10.0,0
1798,127,2.0,3.0,2.0,2.0,6.0,2.0,2.0,2.0,114.0,0,1,22.0,20.0,20.0,20.0,20.0,10.0,10.0,1.0,10.0,8.0,8.0,8.0,5.0,3.0,5.0,5.0,6.0,1.0,7.0,1.0,5.0,8.0,7.0,5.0,10.0,0
1799,127,8.0,5.0,9.0,9.0,10.0,8.0,7.0,2.0,115.0,1,1,22.0,20.0,10.0,30.0,20.0,15.0,5.0,1.0,10.0,8.0,8.0,8.0,5.0,3.0,5.0,5.0,6.0,1.0,7.0,1.0,5.0,8.0,7.0,5.0,10.0,1
1800,127,8.0,6.0,6.0,7.0,5.0,6.0,7.0,2.0,116.0,1,1,22.0,15.0,15.0,25.0,25.0,20.0,0.0,1.0,10.0,8.0,8.0,8.0,5.0,3.0,5.0,5.0,6.0,1.0,7.0,1.0,5.0,8.0,7.0,5.0,10.0,1
1801,127,8.0,6.0,7.0,6.0,8.0,5.0,7.0,2.0,117.0,0,1,22.0,20.0,10.0,20.0,20.0,20.0,10.0,1.0,10.0,8.0,8.0,8.0,5.0,3.0,5.0,5.0,6.0,1.0,7.0,1.0,5.0,8.0,7.0,5.0,10.0,0
1802,127,8.0,10.0,9.0,10.0,8.0,7.0,8.0,2.0,119.0,1,1,22.0,50.0,15.0,10.0,10.0,10.0,5.0,1.0,10.0,8.0,8.0,8.0,5.0,3.0,5.0,5.0,6.0,1.0,7.0,1.0,5.0,8.0,7.0,5.0,10.0,1
1803,127,9.0,4.0,5.0,2.0,2.0,1.0,2.0,2.0,120.0,0,1,22.0,10.0,10.0,35.0,35.0,8.0,2.0,1.0,10.0,8.0,8.0,8.0,5.0,3.0,5.0,5.0,6.0,1.0,7.0,1.0,5.0,8.0,7.0,5.0,10.0,0
1804,127,4.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,121.0,0,1,22.0,35.0,15.0,5.0,30.0,15.0,0.0,1.0,10.0,8.0,8.0,8.0,5.0,3.0,5.0,5.0,6.0,1.0,7.0,1.0,5.0,8.0,7.0,5.0,10.0,0
1806,128,9.0,10.0,8.0,8.0,7.0,9.0,9.0,2.0,112.0,1,1,21.0,15.0,15.0,20.0,25.0,10.0,15.0,2.0,8.0,7.0,7.0,6.0,4.0,4.0,8.0,7.0,3.0,5.0,3.0,4.0,8.0,10.0,10.0,2.0,2.0,1
1807,128,6.0,10.0,9.0,8.0,7.0,4.0,6.0,2.0,113.0,1,1,21.0,15.0,15.0,25.0,25.0,15.0,5.0,2.0,8.0,7.0,7.0,6.0,4.0,4.0,8.0,7.0,3.0,5.0,3.0,4.0,8.0,10.0,10.0,2.0,2.0,1
1808,128,8.0,6.0,7.0,8.0,7.0,5.0,8.0,2.0,114.0,1,1,21.0,20.0,20.0,20.0,20.0,10.0,10.0,2.0,8.0,7.0,7.0,6.0,4.0,4.0,8.0,7.0,3.0,5.0,3.0,4.0,8.0,10.0,10.0,2.0,2.0,1
1809,128,9.0,10.0,9.0,8.0,8.0,7.0,8.0,2.0,115.0,1,1,21.0,20.0,10.0,30.0,20.0,15.0,5.0,2.0,8.0,7.0,7.0,6.0,4.0,4.0,8.0,7.0,3.0,5.0,3.0,4.0,8.0,10.0,10.0,2.0,2.0,1
1810,128,7.0,8.0,8.0,6.0,6.0,3.0,6.0,2.0,116.0,0,1,21.0,15.0,15.0,25.0,25.0,20.0,0.0,2.0,8.0,7.0,7.0,6.0,4.0,4.0,8.0,7.0,3.0,5.0,3.0,4.0,8.0,10.0,10.0,2.0,2.0,0
1811,128,7.0,8.0,6.0,6.0,6.0,6.0,8.0,2.0,117.0,0,1,21.0,20.0,10.0,20.0,20.0,20.0,10.0,2.0,8.0,7.0,7.0,6.0,4.0,4.0,8.0,7.0,3.0,5.0,3.0,4.0,8.0,10.0,10.0,2.0,2.0,0
1813,128,8.0,7.0,8.0,6.0,5.0,2.0,6.0,2.0,120.0,1,1,21.0,10.0,10.0,35.0,35.0,8.0,2.0,2.0,8.0,7.0,7.0,6.0,4.0,4.0,8.0,7.0,3.0,5.0,3.0,4.0,8.0,10.0,10.0,2.0,2.0,1
1814,128,9.0,10.0,10.0,5.0,7.0,4.0,9.0,2.0,121.0,1,1,21.0,35.0,15.0,5.0,30.0,15.0,0.0,2.0,8.0,7.0,7.0,6.0,4.0,4.0,8.0,7.0,3.0,5.0,3.0,4.0,8.0,10.0,10.0,2.0,2.0,0
1826,130,8.0,8.0,8.0,8.0,8.0,8.0,7.0,4.0,112.0,1,1,20.0,15.0,15.0,20.0,25.0,10.0,15.0,2.0,7.0,4.0,9.0,8.0,3.0,2.0,7.0,5.0,7.0,6.0,2.0,1.0,2.0,2.0,9.0,6.0,2.0,0
1827,130,9.0,9.0,8.0,6.0,5.0,5.0,7.0,4.0,113.0,1,1,20.0,15.0,15.0,25.0,25.0,15.0,5.0,2.0,7.0,4.0,9.0,8.0,3.0,2.0,7.0,5.0,7.0,6.0,2.0,1.0,2.0,2.0,9.0,6.0,2.0,0
1828,130,7.0,8.0,7.0,5.0,6.0,6.0,7.0,4.0,114.0,1,1,20.0,20.0,20.0,20.0,20.0,10.0,10.0,2.0,7.0,4.0,9.0,8.0,3.0,2.0,7.0,5.0,7.0,6.0,2.0,1.0,2.0,2.0,9.0,6.0,2.0,0
1829,130,6.0,9.0,9.0,9.0,9.0,5.0,6.0,4.0,115.0,0,1,20.0,20.0,10.0,30.0,20.0,15.0,5.0,2.0,7.0,4.0,9.0,8.0,3.0,2.0,7.0,5.0,7.0,6.0,2.0,1.0,2.0,2.0,9.0,6.0,2.0,0
1830,130,10.0,7.0,7.0,7.0,6.0,5.0,8.0,4.0,116.0,1,1,20.0,15.0,15.0,25.0,25.0,20.0,0.0,2.0,7.0,4.0,9.0,8.0,3.0,2.0,7.0,5.0,7.0,6.0,2.0,1.0,2.0,2.0,9.0,6.0,2.0,0
1831,130,5.0,10.0,8.0,5.0,8.0,4.0,6.0,4.0,117.0,0,1,20.0,20.0,10.0,20.0,20.0,20.0,10.0,2.0,7.0,4.0,9.0,8.0,3.0,2.0,7.0,5.0,7.0,6.0,2.0,1.0,2.0,2.0,9.0,6.0,2.0,0
1833,130,9.0,9.0,9.0,8.0,10.0,2.0,9.0,4.0,120.0,1,1,20.0,10.0,10.0,35.0,35.0,8.0,2.0,2.0,7.0,4.0,9.0,8.0,3.0,2.0,7.0,5.0,7.0,6.0,2.0,1.0,2.0,2.0,9.0,6.0,2.0,1
1834,130,6.0,10.0,5.0,2.0,2.0,4.0,7.0,4.0,121.0,1,1,20.0,35.0,15.0,5.0,30.0,15.0,0.0,2.0,7.0,4.0,9.0,8.0,3.0,2.0,7.0,5.0,7.0,6.0,2.0,1.0,2.0,2.0,9.0,6.0,2.0,0
1836,131,2.0,7.0,6.0,2.0,5.0,1.0,2.0,4.0,112.0,0,1,19.0,15.0,15.0,20.0,25.0,10.0,15.0,3.0,5.0,1.0,5.0,5.0,5.0,5.0,3.0,6.0,4.0,8.0,7.0,6.0,8.0,7.0,6.0,5.0,3.0,0
1837,131,4.0,9.0,8.0,3.0,6.0,2.0,3.0,4.0,113.0,0,1,19.0,15.0,15.0,25.0,25.0,15.0,5.0,3.0,5.0,1.0,5.0,5.0,5.0,5.0,3.0,6.0,4.0,8.0,7.0,6.0,8.0,7.0,6.0,5.0,3.0,0
1838,131,5.0,6.0,4.0,5.0,3.0,3.0,5.0,4.0,114.0,0,1,19.0,20.0,20.0,20.0,20.0,10.0,10.0,3.0,5.0,1.0,5.0,5.0,5.0,5.0,3.0,6.0,4.0,8.0,7.0,6.0,8.0,7.0,6.0,5.0,3.0,0
1840,131,4.0,8.0,7.0,3.0,7.0,0.0,5.0,4.0,116.0,0,1,19.0,15.0,15.0,25.0,25.0,20.0,0.0,3.0,5.0,1.0,5.0,5.0,5.0,5.0,3.0,6.0,4.0,8.0,7.0,6.0,8.0,7.0,6.0,5.0,3.0,0
1843,131,7.0,8.0,6.0,5.0,7.0,2.0,5.0,4.0,120.0,0,1,19.0,10.0,10.0,35.0,35.0,8.0,2.0,3.0,5.0,1.0,5.0,5.0,5.0,5.0,3.0,6.0,4.0,8.0,7.0,6.0,8.0,7.0,6.0,5.0,3.0,0
1844,131,7.0,10.0,10.0,8.0,10.0,1.0,9.0,4.0,121.0,1,1,19.0,35.0,15.0,5.0,30.0,15.0,0.0,3.0,5.0,1.0,5.0,5.0,5.0,5.0,3.0,6.0,4.0,8.0,7.0,6.0,8.0,7.0,6.0,5.0,3.0,0
1846,132,8.0,8.0,9.0,8.0,9.0,7.0,7.0,2.0,137.0,1,0,27.0,17.39,17.39,15.22,17.39,13.04,19.57,2.0,7.0,2.0,10.0,5.0,7.0,7.0,9.0,1.0,1.0,5.0,9.0,5.0,10.0,3.0,10.0,1.0,10.0,0
1847,132,8.0,7.0,4.0,6.0,6.0,4.0,8.0,2.0,138.0,1,0,27.0,20.0,20.0,20.0,20.0,6.67,13.33,2.0,7.0,2.0,10.0,5.0,7.0,7.0,9.0,1.0,1.0,5.0,9.0,5.0,10.0,3.0,10.0,1.0,10.0,0
1849,132,7.0,7.0,7.0,7.0,7.0,7.0,7.0,2.0,140.0,1,0,27.0,18.6,16.28,18.6,18.6,11.63,16.28,2.0,7.0,2.0,10.0,5.0,7.0,7.0,9.0,1.0,1.0,5.0,9.0,5.0,10.0,3.0,10.0,1.0,10.0,1
1850,132,8.0,7.0,7.0,7.0,7.0,8.0,7.0,2.0,141.0,1,0,27.0,20.83,20.83,16.67,16.67,6.25,18.75,2.0,7.0,2.0,10.0,5.0,7.0,7.0,9.0,1.0,1.0,5.0,9.0,5.0,10.0,3.0,10.0,1.0,10.0,0
1851,133,6.0,10.0,10.0,6.0,7.0,5.0,7.0,4.0,137.0,0,0,24.0,17.39,17.39,15.22,17.39,13.04,19.57,5.0,8.0,7.0,6.0,7.0,10.0,8.0,10.0,4.0,3.0,6.0,4.0,8.0,7.0,10.0,9.0,7.0,6.0,0
1852,133,3.0,8.0,8.0,9.0,8.0,1.0,1.0,4.0,138.0,0,0,24.0,20.0,20.0,20.0,20.0,6.67,13.33,5.0,8.0,7.0,6.0,7.0,10.0,8.0,10.0,4.0,3.0,6.0,4.0,8.0,7.0,10.0,9.0,7.0,6.0,0
1854,133,5.0,9.0,8.0,6.0,8.0,6.0,6.0,4.0,140.0,0,0,24.0,18.6,16.28,18.6,18.6,11.63,16.28,5.0,8.0,7.0,6.0,7.0,10.0,8.0,10.0,4.0,3.0,6.0,4.0,8.0,7.0,10.0,9.0,7.0,6.0,0
1855,133,6.0,10.0,9.0,9.0,6.0,5.0,8.0,4.0,141.0,1,0,24.0,20.83,20.83,16.67,16.67,6.25,18.75,5.0,8.0,7.0,6.0,7.0,10.0,8.0,10.0,4.0,3.0,6.0,4.0,8.0,7.0,10.0,9.0,7.0,6.0,0
1856,134,9.0,9.0,9.0,8.0,8.0,7.0,9.0,2.0,137.0,1,0,23.0,17.39,17.39,15.22,17.39,13.04,19.57,3.0,7.0,4.0,4.0,8.0,9.0,6.0,7.0,8.0,6.0,8.0,5.0,9.0,5.0,7.0,8.0,8.0,8.0,1
1857,134,3.0,8.0,8.0,2.0,7.0,1.0,1.0,2.0,138.0,0,0,23.0,20.0,20.0,20.0,20.0,6.67,13.33,3.0,7.0,4.0,4.0,8.0,9.0,6.0,7.0,8.0,6.0,8.0,5.0,9.0,5.0,7.0,8.0,8.0,8.0,0
1860,134,7.0,8.0,8.0,7.0,6.0,5.0,7.0,2.0,141.0,1,0,23.0,20.83,20.83,16.67,16.67,6.25,18.75,3.0,7.0,4.0,4.0,8.0,9.0,6.0,7.0,8.0,6.0,8.0,5.0,9.0,5.0,7.0,8.0,8.0,8.0,0
1861,135,7.0,8.0,8.0,7.0,7.0,6.0,7.0,2.0,137.0,1,0,26.0,17.39,17.39,15.22,17.39,13.04,19.57,2.0,3.0,1.0,1.0,1.0,9.0,9.0,10.0,1.0,7.0,7.0,1.0,8.0,7.0,10.0,10.0,2.0,9.0,0
1862,135,4.0,6.0,6.0,1.0,7.0,1.0,1.0,2.0,138.0,0,0,26.0,20.0,20.0,20.0,20.0,6.67,13.33,2.0,3.0,1.0,1.0,1.0,9.0,9.0,10.0,1.0,7.0,7.0,1.0,8.0,7.0,10.0,10.0,2.0,9.0,0
1864,135,6.5,8.0,8.0,7.0,7.0,7.0,7.0,2.0,140.0,1,0,26.0,18.6,16.28,18.6,18.6,11.63,16.28,2.0,3.0,1.0,1.0,1.0,9.0,9.0,10.0,1.0,7.0,7.0,1.0,8.0,7.0,10.0,10.0,2.0,9.0,1
1865,135,8.0,9.0,8.0,8.0,6.0,5.0,8.0,2.0,141.0,1,0,26.0,20.83,20.83,16.67,16.67,6.25,18.75,2.0,3.0,1.0,1.0,1.0,9.0,9.0,10.0,1.0,7.0,7.0,1.0,8.0,7.0,10.0,10.0,2.0,9.0,1
1871,137,7.0,9.0,7.0,9.0,6.0,9.0,8.0,4.0,132.0,0,1,26.0,16.67,16.67,16.67,16.67,16.67,16.67,1.0,6.0,1.0,8.0,8.0,4.0,4.0,1.0,5.0,7.0,4.0,7.0,1.0,9.0,9.0,10.0,8.0,3.0,0
1872,137,7.0,7.0,7.0,8.0,6.0,8.0,7.0,4.0,133.0,0,1,26.0,12.77,19.15,17.02,17.02,14.89,19.15,1.0,6.0,1.0,8.0,8.0,4.0,4.0,1.0,5.0,7.0,4.0,7.0,1.0,9.0,9.0,10.0,8.0,3.0,0
1873,137,8.0,9.0,7.0,9.0,10.0,8.0,9.0,4.0,134.0,1,1,26.0,6.67,20.0,20.0,17.78,20.0,15.56,1.0,6.0,1.0,8.0,8.0,4.0,4.0,1.0,5.0,7.0,4.0,7.0,1.0,9.0,9.0,10.0,8.0,3.0,1
1876,138,8.0,8.0,8.0,8.0,8.0,8.0,8.0,2.0,132.0,0,1,32.0,16.67,16.67,16.67,16.67,16.67,16.67,2.0,7.0,2.0,9.0,8.0,6.0,6.0,1.0,7.0,7.0,9.0,9.0,4.0,9.0,2.0,9.0,6.0,2.0,0
1877,138,7.0,6.0,8.0,7.0,8.0,6.0,6.0,2.0,133.0,0,1,32.0,12.77,19.15,17.02,17.02,14.89,19.15,2.0,7.0,2.0,9.0,8.0,6.0,6.0,1.0,7.0,7.0,9.0,9.0,4.0,9.0,2.0,9.0,6.0,2.0,0
1878,138,7.0,8.0,9.0,8.0,7.0,8.0,7.0,2.0,134.0,1,1,32.0,6.67,20.0,20.0,17.78,20.0,15.56,2.0,7.0,2.0,9.0,8.0,6.0,6.0,1.0,7.0,7.0,9.0,9.0,4.0,9.0,2.0,9.0,6.0,2.0,0
1881,139,5.0,7.0,9.0,5.0,9.0,5.0,5.0,4.0,132.0,0,1,37.0,16.67,16.67,16.67,16.67,16.67,16.67,3.0,7.0,5.0,8.0,10.0,9.0,9.0,6.0,5.0,6.0,10.0,8.0,7.0,10.0,8.0,9.0,7.0,8.0,0
1882,139,6.0,5.0,5.0,6.0,6.0,7.0,7.0,4.0,133.0,0,1,37.0,12.77,19.15,17.02,17.02,14.89,19.15,3.0,7.0,5.0,8.0,10.0,9.0,9.0,6.0,5.0,6.0,10.0,8.0,7.0,10.0,8.0,9.0,7.0,8.0,0
1883,139,7.0,7.0,8.0,5.0,8.0,5.0,6.0,4.0,134.0,0,1,37.0,6.67,20.0,20.0,17.78,20.0,15.56,3.0,7.0,5.0,8.0,10.0,9.0,9.0,6.0,5.0,6.0,10.0,8.0,7.0,10.0,8.0,9.0,7.0,8.0,0
1886,140,8.0,9.0,9.0,9.0,9.0,8.0,9.0,2.0,132.0,1,1,29.0,16.67,16.67,16.67,16.67,16.67,16.67,2.0,8.0,6.0,8.0,9.0,5.0,5.0,5.0,5.0,7.0,9.0,6.0,7.0,6.0,4.0,5.0,4.0,3.0,1
1887,140,8.0,7.0,7.0,8.0,8.0,7.0,7.0,2.0,133.0,0,1,29.0,12.77,19.15,17.02,17.02,14.89,19.15,2.0,8.0,6.0,8.0,9.0,5.0,5.0,5.0,5.0,7.0,9.0,6.0,7.0,6.0,4.0,5.0,4.0,3.0,0
1888,140,8.0,9.0,9.0,9.0,10.0,7.0,8.0,2.0,134.0,1,1,29.0,6.67,20.0,20.0,17.78,20.0,15.56,2.0,8.0,6.0,8.0,9.0,5.0,5.0,5.0,5.0,7.0,9.0,6.0,7.0,6.0,4.0,5.0,4.0,3.0,0
1891,141,5.0,8.0,8.0,8.0,7.0,7.0,7.0,3.0,132.0,0,1,28.0,16.67,16.67,16.67,16.67,16.67,16.67,2.0,10.0,10.0,3.0,9.0,5.0,5.0,7.0,5.0,7.0,3.0,8.0,9.0,10.0,8.0,9.0,6.0,6.0,0
1892,141,5.0,6.0,5.0,7.0,5.0,6.0,5.0,3.0,133.0,0,1,28.0,12.77,19.15,17.02,17.02,14.89,19.15,2.0,10.0,10.0,3.0,9.0,5.0,5.0,7.0,5.0,7.0,3.0,8.0,9.0,10.0,8.0,9.0,6.0,6.0,0
1893,141,6.0,5.0,6.0,5.0,6.0,4.0,5.0,3.0,134.0,0,1,28.0,6.67,20.0,20.0,17.78,20.0,15.56,2.0,10.0,10.0,3.0,9.0,5.0,5.0,7.0,5.0,7.0,3.0,8.0,9.0,10.0,8.0,9.0,6.0,6.0,0
1896,142,10.0,8.0,8.0,7.0,7.0,5.0,9.0,2.0,158.0,1,0,24.0,19.05,19.05,19.05,19.05,9.52,14.29,2.0,5.0,6.0,6.0,6.0,5.0,5.0,6.0,14.0,7.0,6.0,6.0,6.0,6.0,6.0,8.0,6.0,6.0,0
1899,142,8.0,7.0,8.0,7.0,6.0,4.0,7.0,2.0,161.0,0,0,24.0,16.67,18.75,18.75,18.75,18.75,8.33,2.0,5.0,6.0,6.0,6.0,5.0,5.0,6.0,14.0,7.0,6.0,6.0,6.0,6.0,6.0,8.0,6.0,6.0,0
1900,142,6.0,7.0,7.0,6.0,6.0,5.0,5.0,2.0,162.0,0,0,24.0,15.22,15.22,19.57,17.39,13.04,19.57,2.0,5.0,6.0,6.0,6.0,5.0,5.0,6.0,14.0,7.0,6.0,6.0,6.0,6.0,6.0,8.0,6.0,6.0,0
1901,142,7.0,7.0,7.0,5.0,6.0,5.0,6.0,2.0,163.0,0,0,24.0,12.0,20.0,20.0,20.0,16.0,12.0,2.0,5.0,6.0,6.0,6.0,5.0,5.0,6.0,14.0,7.0,6.0,6.0,6.0,6.0,6.0,8.0,6.0,6.0,0
1903,142,8.0,8.0,9.0,7.0,8.0,6.0,6.0,2.0,165.0,0,0,24.0,16.67,12.5,20.83,18.75,12.5,18.75,2.0,5.0,6.0,6.0,6.0,5.0,5.0,6.0,14.0,7.0,6.0,6.0,6.0,6.0,6.0,8.0,6.0,6.0,0
1905,142,7.0,6.0,7.0,6.0,4.0,4.0,6.0,2.0,167.0,1,0,24.0,18.6,13.95,18.6,16.28,16.28,16.28,2.0,5.0,6.0,6.0,6.0,5.0,5.0,6.0,14.0,7.0,6.0,6.0,6.0,6.0,6.0,8.0,6.0,6.0,1
1906,142,8.0,8.0,7.0,7.0,7.0,8.0,8.0,2.0,168.0,1,0,24.0,11.11,17.78,17.78,17.78,17.78,17.78,2.0,5.0,6.0,6.0,6.0,5.0,5.0,6.0,14.0,7.0,6.0,6.0,6.0,6.0,6.0,8.0,6.0,6.0,1
1907,142,8.0,8.0,9.0,8.0,7.0,8.0,8.0,2.0,169.0,1,0,24.0,17.78,20.0,17.78,15.56,15.56,13.33,2.0,5.0,6.0,6.0,6.0,5.0,5.0,6.0,14.0,7.0,6.0,6.0,6.0,6.0,6.0,8.0,6.0,6.0,1
1908,142,7.0,7.0,7.0,7.0,5.0,7.0,7.0,2.0,170.0,1,0,24.0,16.28,20.93,18.6,18.6,13.95,11.63,2.0,5.0,6.0,6.0,6.0,5.0,5.0,6.0,14.0,7.0,6.0,6.0,6.0,6.0,6.0,8.0,6.0,6.0,0
1909,142,7.0,8.0,9.0,9.0,8.0,7.0,7.0,2.0,171.0,1,0,24.0,19.57,10.87,19.57,19.57,19.57,10.87,2.0,5.0,6.0,6.0,6.0,5.0,5.0,6.0,14.0,7.0,6.0,6.0,6.0,6.0,6.0,8.0,6.0,6.0,1
1910,142,8.0,7.0,6.0,7.0,7.0,6.0,6.0,2.0,172.0,1,0,24.0,17.78,17.78,22.22,20.0,15.56,6.67,2.0,5.0,6.0,6.0,6.0,5.0,5.0,6.0,14.0,7.0,6.0,6.0,6.0,6.0,6.0,8.0,6.0,6.0,1
1911,142,8.0,7.0,7.0,7.0,5.0,5.0,7.0,2.0,173.0,1,0,24.0,18.37,18.37,20.41,20.41,16.33,6.12,2.0,5.0,6.0,6.0,6.0,5.0,5.0,6.0,14.0,7.0,6.0,6.0,6.0,6.0,6.0,8.0,6.0,6.0,1
1912,143,6.0,8.0,9.0,6.0,8.0,7.0,7.0,2.0,158.0,1,0,33.0,19.05,19.05,19.05,19.05,9.52,14.29,4.0,4.0,5.0,6.0,8.0,9.0,9.0,6.0,4.0,8.0,9.0,5.0,7.0,7.0,7.0,7.0,6.0,4.0,0
1913,143,5.0,7.0,7.0,5.0,4.0,4.0,5.0,2.0,159.0,0,0,33.0,15.91,20.45,20.45,20.45,11.36,11.36,4.0,4.0,5.0,6.0,8.0,9.0,9.0,6.0,4.0,8.0,9.0,5.0,7.0,7.0,7.0,7.0,6.0,4.0,0
1914,143,4.0,9.0,7.0,5.0,8.0,3.0,4.0,2.0,160.0,0,0,33.0,16.0,18.0,18.0,18.0,14.0,16.0,4.0,4.0,5.0,6.0,8.0,9.0,9.0,6.0,4.0,8.0,9.0,5.0,7.0,7.0,7.0,7.0,6.0,4.0,0
1915,143,5.0,10.0,8.0,5.0,10.0,6.0,4.0,2.0,161.0,0,0,33.0,16.67,18.75,18.75,18.75,18.75,8.33,4.0,4.0,5.0,6.0,8.0,9.0,9.0,6.0,4.0,8.0,9.0,5.0,7.0,7.0,7.0,7.0,6.0,4.0,0
1916,143,3.0,6.0,6.0,2.0,7.0,2.0,3.0,2.0,162.0,0,0,33.0,15.22,15.22,19.57,17.39,13.04,19.57,4.0,4.0,5.0,6.0,8.0,9.0,9.0,6.0,4.0,8.0,9.0,5.0,7.0,7.0,7.0,7.0,6.0,4.0,0
1917,143,5.0,8.0,7.0,6.0,6.0,4.0,5.0,2.0,163.0,0,0,33.0,12.0,20.0,20.0,20.0,16.0,12.0,4.0,4.0,5.0,6.0,8.0,9.0,9.0,6.0,4.0,8.0,9.0,5.0,7.0,7.0,7.0,7.0,6.0,4.0,0
1919,143,6.0,9.0,9.0,6.0,8.0,4.0,6.0,2.0,165.0,0,0,33.0,16.67,12.5,20.83,18.75,12.5,18.75,4.0,4.0,5.0,6.0,8.0,9.0,9.0,6.0,4.0,8.0,9.0,5.0,7.0,7.0,7.0,7.0,6.0,4.0,0
1921,143,3.0,7.0,6.0,4.0,5.0,2.0,3.0,2.0,167.0,0,0,33.0,18.6,13.95,18.6,16.28,16.28,16.28,4.0,4.0,5.0,6.0,8.0,9.0,9.0,6.0,4.0,8.0,9.0,5.0,7.0,7.0,7.0,7.0,6.0,4.0,0
1922,143,5.0,5.0,5.0,6.0,6.0,6.0,6.0,2.0,168.0,0,0,33.0,11.11,17.78,17.78,17.78,17.78,17.78,4.0,4.0,5.0,6.0,8.0,9.0,9.0,6.0,4.0,8.0,9.0,5.0,7.0,7.0,7.0,7.0,6.0,4.0,0
1923,143,7.0,9.0,9.0,8.0,8.0,8.0,7.0,2.0,169.0,0,0,33.0,17.78,20.0,17.78,15.56,15.56,13.33,4.0,4.0,5.0,6.0,8.0,9.0,9.0,6.0,4.0,8.0,9.0,5.0,7.0,7.0,7.0,7.0,6.0,4.0,0
1924,143,5.0,7.0,7.0,5.0,7.0,3.0,4.0,2.0,170.0,0,0,33.0,16.28,20.93,18.6,18.6,13.95,11.63,4.0,4.0,5.0,6.0,8.0,9.0,9.0,6.0,4.0,8.0,9.0,5.0,7.0,7.0,7.0,7.0,6.0,4.0,0
1925,143,5.0,8.0,9.0,6.0,7.0,9.0,6.0,2.0,171.0,0,0,33.0,19.57,10.87,19.57,19.57,19.57,10.87,4.0,4.0,5.0,6.0,8.0,9.0,9.0,6.0,4.0,8.0,9.0,5.0,7.0,7.0,7.0,7.0,6.0,4.0,0
